다발지식별자,다발지그룹식별자,법정동코드,스팟코드,관할경찰서,다발지명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
6345609,2017081,4513014400,170445002,전북 군산2,전라북도 군산시 나운동(수송제일오투그란데 부근),4,4,0,1,3,0,126.7102871,35.96398444
6345500,2017081,4514011200,170545001,전북 익산1,전라북도 익산시 마동((동양모텔목욕탕) 부근),5,5,0,4,1,0,126.9631547,35.93408492
6345494,2017081,4122011000,130941001,경기 평택1,경기도 평택시 지산동(차사랑용품점 부근),5,5,1,2,2,0,127.0577791,37.08303868
6345673,2017081,4127310100,132841001,경기 안산단원1,경기도 안산시 단원구 고잔동((주)한솔교육안산지사 부근),11,11,1,5,5,0,126.8367601,37.31792135
6345594,2017081,2729012200,220627001,대구 대구달서1,대구광역시 달서구 송현동(머구리숯불막창 부근),5,5,1,1,3,0,128.5530814,35.83370714
6345305,2017081,2817010100,230328002,인천 인천남부2,인천광역시 남구 숭의동(숭의오거리 부근),5,5,1,2,2,0,126.6492204,37.45814425
6345362,2017081,2917010100,240529002,광주 광주북부2,광주광역시 북구 중흥동(부담없는집 부근),4,4,0,3,1,0,126.9197715,35.17207036
6345573,2017081,2917010700,240529001,광주 광주북부1,광주광역시 북구 용봉동(유진카독크 부근),5,5,0,1,4,0,126.8978127,35.17926264
6345593,2017081,4315010100,150543002,충북 제천2,충청북도 제천시 의림동((합동주유소) 부근),3,3,1,1,1,0,128.2107881,37.14147693
6345584,2017081,4315010900,150543001,충북 제천1,충청북도 제천시 화산동((현대타이어) 부근),4,4,0,1,2,1,128.2080528,37.13408324
6345674,2017081,4127310900,132841002,경기 안산단원2,경기도 안산시 단원구 선부동(기사촌사거리 부근),5,5,0,2,3,0,126.8078099,37.34209698
6345632,2017081,4128110600,280341001,경기 고양1,경기도 고양시 덕양구 성사동((아이마트 안경콘택트앞) 부근),6,7,0,4,3,0,126.8370311,37.65609646
6345306,2017081,2817010600,230328001,인천 인천남부1,인천광역시 남구 주안동(대한산업안전기술원 부근),6,7,1,5,1,0,126.6798362,37.453388
6345361,2017081,2817010600,230328003,인천 인천남부3,인천광역시 남구 주안동(소.돼지매장 부근),5,6,0,3,3,0,126.6773858,37.44828624
6345489,2017081,2917011200,240529004,광주 광주북부4,광주광역시 북구 문흥동(조성희가정의학과 부근),4,5,0,2,3,0,126.9161055,35.17955152
6345356,2017081,2917011700,240529003,광주 광주북부3,광주광역시 북구 매곡동(기계공고입구A 부근),4,6,0,2,4,0,126.8985507,35.18757989
6345689,2017081,4377025321,150943001,충북 음성1,충청북도 음성군 금왕읍(건강약국 부근),5,5,0,3,2,0,127.5923643,36.99266823
6345623,2017081,4413110100,162144002,충남 천안동남2,충청남도 천안시 동남구 대흥동((학하호도과자) 부근),6,7,0,2,5,0,127.1482072,36.80977382
6345630,2017081,1171010700,112511001,서울 서울송파1,서울특별시 송파구 가락동(진성빌딩앞 부근),7,7,0,2,5,0,127.1183914,37.49438719
6345427,2017081,1174010200,112411002,서울 서울강동2,서울특별시 강동구 고덕동(E마트 부근),4,4,1,2,0,1,127.1567116,37.55534937
6345415,2017081,2647010200,121326001,부산 부산연제1,부산광역시 연제구 연산동(협신정비A 부근),4,5,1,4,0,0,129.0809337,35.18871795
6345668,2017081,2650010400,120526001,부산 부산남부1,부산광역시 수영구 광안동(해수욕장사거리 부근),4,6,1,3,2,0,129.1172857,35.15401174
